invoice_date,invoice_no,customer_id,gender,age,shopping_mall,category,quantity,price,payment_method,Sales amount
15-08-2021,I212260,C327200,Female,43,Viaport Outlet,Technology,4,4200.0,Cash,16800.0
19-10-2022,I212268,C296817,Female,26,Mall of Istanbul,Shoes,2,1200.34,Cash,2400.68
19-09-2021,I212269,C305605,Female,56,Kanyon,Souvenir,4,46.92,Credit Card,187.68
09-01-2023,I212270,C198502,Female,38,Emaar Square Mall,Clothing,5,1500.4,Credit Card,7502.0
10-03-2022,I212272,C552066,Male,56,Metrocity,Clothing,1,300.08,Cash,300.08
31-07-2022,I212273,C178963,Male,63,Mall of Istanbul,Clothing,3,900.24,Cash,2700.7200000000003
28-08-2021,I212274,C166248,Male,42,Metropol AVM,Shoes,2,1200.34,Credit Card,2400.68
28-12-2021,I212275,C726923,Female,45,Metrocity,Toys,3,107.52,Credit Card,322.56
30-11-2022,I212277,C843852,Male,28,Mall of Istanbul,Toys,2,71.68,Credit Card,143.36
07-04-2022,I212278,C163490,Male,57,Istinye Park,Shoes,3,1800.51,Cash,5401.53
21-05-2022,I212279,C171062,Female,65,Metrocity,Clothing,2,600.16,Cash,1200.32
30-12-2021,I212280,C224198,Male,41,Emaar Square Mall,Clothing,2,600.16,Cash,1200.32
23-05-2021,I212285,C331641,Male,41,Mall of Istanbul,Clothing,3,900.24,Cash,2700.7200000000003
10-06-2022,I212288,C118669,Female,39,Metrocity,Toys,4,143.36,Credit Card,573.44
02-09-2022,I212295,C794705,Female,20,Zorlu Center,Food & Beverage,1,5.23,Credit Card,5.23
16-08-2021,I212298,C258415,Female,47,Emaar Square Mall,Clothing,2,600.16,Debit Card,1200.32
17-02-2023,I212299,C822333,Female,61,Mall of Istanbul,Clothing,1,300.08,Debit Card,300.08
22-03-2022,I212300,C153676,Female,50,Cevahir AVM,Food & Beverage,1,5.23,Debit Card,5.23
29-06-2022,I212303,C814047,Female,42,Mall of Istanbul,Cosmetics,3,121.98,Debit Card,365.94
06-11-2021,I212305,C212378,Female,45,Emaar Square Mall,Books,1,15.15,Credit Card,15.15
10-05-2021,I212309,C210720,Female,54,Mall of Istanbul,Clothing,1,300.08,Cash,300.08
07-10-2021,I212310,C252275,Male,29,Metrocity,Technology,3,3150.0,Debit Card,9450.0
21-03-2022,I212311,C259398,Female,33,Istinye Park,Clothing,2,600.16,Debit Card,1200.32
24-04-2021,I212314,C878948,Male,23,Metrocity,Shoes,3,1800.51,Credit Card,5401.53
08-10-2021,I212315,C311692,Female,39,Kanyon,Clothing,5,1500.4,Cash,7502.0
13-04-2022,I212316,C142655,Male,42,Kanyon,Food & Beverage,2,10.46,Credit Card,20.92
15-01-2021,I212322,C116625,Female,20,Kanyon,Food & Beverage,5,26.15,Cash,130.75
13-04-2021,I212323,C653675,Male,31,Cevahir AVM,Food & Beverage,4,20.92,Credit Card,83.68
17-03-2021,I212324,C140190,Male,23,Mall of Istanbul,Toys,1,35.84,Cash,35.84
22-01-2023,I212326,C179612,Female,31,Kanyon,Toys,3,107.52,Debit Card,322.56
19-07-2022,I212335,C193734,Female,25,Kanyon,Clothing,1,300.08,Credit Card,300.08
07-06-2021,I212339,C219882,Female,21,Metrocity,Technology,4,4200.0,Credit Card,16800.0
18-08-2022,I212340,C466624,Female,58,Metropol AVM,Shoes,1,600.17,Debit Card,600.17
01-04-2021,I212343,C245276,Female,68,Mall of Istanbul,Cosmetics,2,81.32,Cash,162.64
17-08-2021,I212345,C264409,Male,45,Kanyon,Clothing,1,300.08,Debit Card,300.08
18-12-2022,I212357,C552075,Female,35,Mall of Istanbul,Toys,3,107.52,Cash,322.56
25-08-2021,I212358,C747847,Male,61,Mall of Istanbul,Souvenir,4,46.92,Cash,187.68
28-02-2021,I212359,C207486,Female,35,Forum Istanbul,Shoes,3,1800.51,Cash,5401.53
16-05-2022,I212360,C114707,Female,50,Metrocity,Cosmetics,3,121.98,Cash,365.94
04-09-2022,I212362,C208308,Female,47,Cevahir AVM,Technology,4,4200.0,Credit Card,16800.0
12-09-2021,I212363,C258835,Male,66,Mall of Istanbul,Clothing,5,1500.4,Credit Card,7502.0
16-09-2022,I212367,C270806,Female,51,Zorlu Center,Shoes,1,600.17,Cash,600.17
03-02-2023,I212373,C159778,Female,60,Metrocity,Toys,5,179.2,Cash,896.0
05-01-2022,I212378,C321069,Female,48,Metropol AVM,Cosmetics,1,40.66,Debit Card,40.66
28-01-2021,I212383,C394096,Female,59,Metropol AVM,Technology,1,1050.0,Cash,1050.0
08-11-2021,I212384,C302804,Male,29,Mall of Istanbul,Cosmetics,2,81.32,Cash,162.64
20-05-2022,I212387,C254741,Male,46,Istinye Park,Food & Beverage,1,5.23,Credit Card,5.23
20-04-2022,I212390,C233679,Female,43,Emaar Square Mall,Cosmetics,4,162.64,Credit Card,650.56
17-01-2023,I212392,C234222,Female,40,Mall of Istanbul,Toys,3,107.52,Cash,322.56
31-05-2022,I212393,C102354,Male,22,Kanyon,Clothing,2,600.16,Debit Card,1200.32
15-12-2022,I212394,C109677,Male,32,Forum Istanbul,Clothing,5,1500.4,Credit Card,7502.0
03-06-2021,I212398,C106179,Female,48,Mall of Istanbul,Cosmetics,1,40.66,Cash,40.66
11-02-2022,I212399,C215387,Male,67,Mall of Istanbul,Toys,5,179.2,Credit Card,896.0
11-05-2021,I212407,C267066,Male,53,Viaport Outlet,Toys,1,35.84,Credit Card,35.84
25-05-2022,I212412,C292225,Female,36,Mall of Istanbul,Food & Beverage,2,10.46,Cash,20.92
06-01-2021,I212413,C157068,Male,60,Mall of Istanbul,Shoes,3,1800.51,Credit Card,5401.53
14-03-2022,I212414,C231736,Female,58,Kanyon,Shoes,5,3000.85,Cash,15004.25
25-12-2022,I212415,C152295,Male,30,Kanyon,Food & Beverage,5,26.15,Credit Card,130.75
16-01-2021,I212421,C208353,Female,31,Istinye Park,Toys,2,71.68,Cash,143.36
11-11-2021,I212422,C144922,Female,18,Metropol AVM,Cosmetics,5,203.3,Credit Card,1016.5
16-06-2022,I212423,C925510,Female,30,Kanyon,Clothing,5,1500.4,Cash,7502.0
23-08-2022,I212426,C283202,Male,39,Mall of Istanbul,Food & Beverage,1,5.23,Credit Card,5.23
18-06-2021,I212430,C198170,Female,43,Kanyon,Clothing,4,1200.32,Credit Card,4801.28
05-06-2022,I212431,C161586,Female,62,Kanyon,Food & Beverage,3,15.69,Debit Card,47.07
06-03-2023,I212437,C241260,Female,49,Metropol AVM,Toys,2,71.68,Debit Card,143.36
15-12-2021,I212439,C308642,Female,55,Mall of Istanbul,Souvenir,4,46.92,Credit Card,187.68
22-04-2021,I212445,C323555,Male,53,Mall of Istanbul,Clothing,2,600.16,Cash,1200.32
15-09-2022,I212452,C260067,Male,18,Metropol AVM,Food & Beverage,3,15.69,Credit Card,47.07
16-02-2021,I212453,C202558,Female,40,Kanyon,Clothing,2,600.16,Cash,1200.32
05-01-2023,I212454,C141429,Male,35,Mall of Istanbul,Clothing,5,1500.4,Credit Card,7502.0
05-12-2022,I212458,C136928,Female,67,Viaport Outlet,Toys,5,179.2,Credit Card,896.0
22-03-2022,I212460,C230409,Female,22,Metrocity,Clothing,2,600.16,Cash,1200.32
14-12-2022,I212461,C253727,Male,35,Metrocity,Food & Beverage,3,15.69,Cash,47.07
11-05-2021,I212462,C397739,Male,41,Metrocity,Souvenir,1,11.73,Cash,11.73
27-09-2021,I212463,C294158,Female,48,Viaport Outlet,Food & Beverage,2,10.46,Credit Card,20.92
24-07-2022,I212471,C163011,Female,51,Kanyon,Cosmetics,1,40.66,Debit Card,40.66
10-05-2022,I212475,C280946,Female,65,Mall of Istanbul,Books,5,75.75,Cash,378.75
10-12-2022,I212478,C162785,Female,30,Mall of Istanbul,Cosmetics,1,40.66,Cash,40.66
11-01-2023,I212484,C117734,Female,25,Kanyon,Food & Beverage,5,26.15,Cash,130.75
02-02-2021,I212485,C294727,Female,53,Cevahir AVM,Clothing,1,300.08,Cash,300.08
04-06-2022,I212489,C257768,Male,52,Kanyon,Cosmetics,4,162.64,Credit Card,650.56
13-01-2023,I212491,C816524,Male,45,Mall of Istanbul,Food & Beverage,5,26.15,Cash,130.75
10-07-2022,I212493,C180631,Female,33,Kanyon,Clothing,3,900.24,Cash,2700.7200000000003
30-10-2022,I212497,C134345,Male,23,Kanyon,Cosmetics,3,121.98,Debit Card,365.94
05-10-2022,I212500,C146289,Male,37,Zorlu Center,Books,1,15.15,Cash,15.15
31-03-2022,I212502,C199296,Female,59,Metropol AVM,Clothing,1,300.08,Credit Card,300.08
26-07-2022,I212510,C672137,Female,49,Zorlu Center,Toys,1,35.84,Cash,35.84
15-04-2021,I212512,C418081,Female,22,Istinye Park,Clothing,2,600.16,Debit Card,1200.32
31-12-2021,I212514,C238202,Male,50,Kanyon,Cosmetics,3,121.98,Cash,365.94
10-10-2022,I212519,C273931,Female,59,Emaar Square Mall,Toys,2,71.68,Debit Card,143.36
14-06-2022,I212520,C194274,Male,39,Mall of Istanbul,Technology,2,2100.0,Debit Card,4200.0
23-07-2022,I212521,C256350,Male,51,Mall of Istanbul,Clothing,5,1500.4,Cash,7502.0
08-07-2022,I212524,C159112,Female,35,Metrocity,Food & Beverage,2,10.46,Credit Card,20.92
13-01-2022,I212528,C227370,Male,24,Viaport Outlet,Clothing,2,600.16,Debit Card,1200.32
05-01-2021,I212533,C145958,Female,49,Istinye Park,Shoes,4,2400.68,Credit Card,9602.72
02-09-2021,I212534,C245574,Male,35,Cevahir AVM,Souvenir,4,46.92,Cash,187.68
27-01-2021,I212536,C218220,Female,24,Kanyon,Food & Beverage,3,15.69,Cash,47.07
26-11-2022,I212539,C190232,Female,59,Mall of Istanbul,Shoes,5,3000.85,Cash,15004.25
29-11-2021,I212542,C258755,Male,30,Mall of Istanbul,Technology,1,1050.0,Credit Card,1050.0
05-10-2022,I212543,C205733,Male,23,Zorlu Center,Clothing,3,900.24,Debit Card,2700.7200000000003
03-01-2022,I212544,C122062,Female,65,Forum Istanbul,Toys,2,71.68,Cash,143.36
29-10-2021,I212549,C113652,Female,32,Kanyon,Clothing,5,1500.4,Credit Card,7502.0
23-12-2021,I212553,C199492,Female,19,Metropol AVM,Food & Beverage,5,26.15,Cash,130.75
11-03-2022,I212554,C932827,Female,46,Metrocity,Clothing,1,300.08,Debit Card,300.08
05-02-2021,I212555,C176990,Male,26,Metropol AVM,Books,1,15.15,Debit Card,15.15
12-07-2021,I212557,C231229,Female,58,Metropol AVM,Clothing,3,900.24,Credit Card,2700.7200000000003
25-08-2022,I212562,C203516,Female,32,Forum Istanbul,Clothing,3,900.24,Cash,2700.7200000000003
07-01-2023,I212574,C443379,Male,19,Kanyon,Cosmetics,3,121.98,Cash,365.94
31-03-2021,I212578,C145227,Male,50,Emaar Square Mall,Cosmetics,3,121.98,Cash,365.94
17-03-2022,I212584,C144328,Male,29,Viaport Outlet,Clothing,2,600.16,Cash,1200.32
20-06-2021,I212588,C200525,Male,20,Istinye Park,Books,2,30.3,Cash,60.6
04-08-2022,I212591,C790579,Male,23,Metropol AVM,Food & Beverage,1,5.23,Debit Card,5.23
04-01-2023,I212592,C300318,Female,49,Metropol AVM,Technology,3,3150.0,Debit Card,9450.0
07-01-2021,I212598,C477489,Female,50,Forum Istanbul,Food & Beverage,3,15.69,Cash,47.07
14-08-2021,I212603,C146235,Male,35,Kanyon,Food & Beverage,2,10.46,Cash,20.92
27-01-2023,I212604,C778377,Male,23,Kanyon,Food & Beverage,3,15.69,Cash,47.07
11-01-2021,I212606,C128797,Female,69,Viaport Outlet,Clothing,1,300.08,Cash,300.08
26-05-2021,I212607,C661118,Female,41,Metrocity,Books,1,15.15,Cash,15.15
25-12-2021,I212610,C756880,Female,49,Zorlu Center,Food & Beverage,1,5.23,Cash,5.23
08-04-2022,I212618,C286962,Male,61,Metropol AVM,Shoes,3,1800.51,Credit Card,5401.53
01-03-2023,I212619,C249908,Female,67,Mall of Istanbul,Shoes,1,600.17,Credit Card,600.17
17-09-2021,I212620,C258935,Female,23,Cevahir AVM,Food & Beverage,4,20.92,Credit Card,83.68
30-09-2021,I212622,C255003,Female,56,Mall of Istanbul,Toys,1,35.84,Credit Card,35.84
15-04-2021,I212625,C299298,Female,49,Emaar Square Mall,Clothing,3,900.24,Cash,2700.7200000000003
02-04-2022,I212631,C243313,Male,33,Metrocity,Clothing,1,300.08,Cash,300.08
14-04-2021,I212632,C269738,Female,44,Kanyon,Food & Beverage,1,5.23,Credit Card,5.23
17-04-2022,I212635,C223523,Female,47,Istinye Park,Souvenir,2,23.46,Cash,46.92
08-06-2021,I212636,C991113,Male,54,Metrocity,Shoes,2,1200.34,Debit Card,2400.68
25-08-2022,I212640,C167366,Female,42,Istinye Park,Cosmetics,5,203.3,Debit Card,1016.5
28-09-2022,I212643,C215812,Female,23,Mall of Istanbul,Cosmetics,2,81.32,Cash,162.64
13-11-2021,I212646,C136993,Male,39,Mall of Istanbul,Clothing,3,900.24,Cash,2700.7200000000003
04-09-2022,I212649,C255852,Female,29,Kanyon,Toys,2,71.68,Credit Card,143.36
18-06-2022,I212652,C546501,Male,46,Metrocity,Clothing,5,1500.4,Cash,7502.0
18-02-2022,I212654,C204418,Female,38,Viaport Outlet,Clothing,2,600.16,Debit Card,1200.32
17-07-2022,I212655,C288605,Female,42,Mall of Istanbul,Technology,2,2100.0,Credit Card,4200.0
19-05-2022,I212657,C287376,Male,38,Metrocity,Clothing,2,600.16,Credit Card,1200.32
29-06-2022,I212661,C281219,Male,54,Mall of Istanbul,Cosmetics,3,121.98,Cash,365.94
